#separator:tab
#html:true
#columns:Front	Back	Tags
for	/fɔː/　<b>prep.</b>　为了；给<br>This is for you. 这是给你的。	介词
with	/wɪð/　<b>prep.</b>　和…一起<br>Come with me. 跟我来。	介词
without	/wɪˈðaʊt/　<b>prep.</b>　没有<br>Without water. 没有水。	介词
about	/əˈbaʊt/　<b>prep.</b>　关于<br>Talk about work. 谈工作。	介词
by	/baɪ/　<b>prep.</b>　通过；在…旁<br>By bus. 坐公交。	介词
as	/æz/　<b>prep.</b>　作为<br>As a manager. 作为经理。	介词
into	/ˈɪntuː/　<b>prep.</b>　进入<br>Go into the room. 进房间。	介词
over	/ˈəʊvə/　<b>prep.</b>　在…上方；超过<br>Over the desk. 在桌子上方。	介词
under	/ˈʌndə/　<b>prep.</b>　在…下面<br>Under the chair. 在椅子下。	介词
after	/ˈɑːftə/　<b>prep.</b>　在…之后<br>After lunch. 午饭后。	介词
before	/bɪˈfɔː/　<b>prep.</b>　在…之前<br>Before the meeting. 会议前。	介词
between	/bɪˈtwiːn/　<b>prep.</b>　在…之间<br>Between us. 我们之间。	介词
during	/ˈdjʊərɪŋ/　<b>prep.</b>　在…期间<br>During the day. 白天。	介词
near	/nɪə/　<b>prep.</b>　在…附近<br>Near the station. 车站附近。	介词
next to	/nekst tuː/　<b>prep.</b>　紧挨着<br>Next to the bank. 银行旁边。	介词
behind	/bɪˈhaɪnd/　<b>prep.</b>　在…后面<br>Behind the door. 在门后。	介词
through	/θruː/　<b>prep.</b>　穿过<br>Through the door. 穿过门。	介词
across	/əˈkrɒs/　<b>prep.</b>　横过<br>Across the street. 过马路。	介词
around	/əˈraʊnd/　<b>prep.</b>　在…周围<br>Around the office. 办公室周围。	介词
up	/ʌp/　<b>prep./adv.</b>　向上<br>Look up. 往上看。	介词
down	/daʊn/　<b>prep./adv.</b>　向下<br>Sit down. 坐下。	介词
off	/ɒf/　<b>prep./adv.</b>　离开；关<br>Turn off the light. 关灯。	介词
out	/aʊt/　<b>prep./adv.</b>　向外<br>Go out. 出去。	介词
like	/laɪk/　<b>prep.</b>　像<br>Like this. 像这样。	介词
against	/əˈɡenst/　<b>prep.</b>　反对；靠着<br>I'm against it. 我反对。	介词
among	/əˈmʌŋ/　<b>prep.</b>　在…之中<br>Among friends. 在朋友之中。	介词
since	/sɪns/　<b>prep.</b>　自从<br>Since Monday. 从周一起。	介词
until	/ənˈtɪl/　<b>prep.</b>　直到<br>Wait until 5. 等到五点。	介词
within	/wɪˈðɪn/　<b>prep.</b>　在…之内<br>Within a week. 一周之内。	介词
and	/ænd/　<b>conj.</b>　和<br>You and me. 你和我。	连词
but	/bʌt/　<b>conj.</b>　但是<br>Cheap but good. 便宜但好用。	连词
or	/ɔː/　<b>conj.</b>　或者<br>Tea or coffee? 茶还是咖啡？	连词
so	/səʊ/　<b>conj.</b>　所以<br>I'm tired, so I'll rest. 我累了，所以休息。	连词
because	/bɪˈkɒz/　<b>conj.</b>　因为<br>Because it's late. 因为晚了。	连词
if	/ɪf/　<b>conj.</b>　如果<br>If you agree. 如果你同意。	连词
when	/wen/　<b>conj.</b>　当…时<br>When I arrive. 当我到达时。	连词
while	/waɪl/　<b>conj.</b>　当…时；然而<br>While I work. 我工作时。	连词
although	/ɔːlˈðəʊ/　<b>conj.</b>　虽然<br>Although it's hard. 虽然很难。	连词
though	/ðəʊ/　<b>conj.</b>　虽然<br>It works, though. 不过它能用。	连词
as	/æz/　<b>conj.</b>　因为；随着<br>As you know. 如你所知。	连词
after	/ˈɑːftə/　<b>conj.</b>　在…之后<br>After I finish. 我完成后。	连词
before	/bɪˈfɔː/　<b>conj.</b>　在…之前<br>Before you leave. 你走之前。	连词
until	/ənˈtɪl/　<b>conj.</b>　直到<br>Until it works. 直到它能用。	连词
unless	/ənˈles/　<b>conj.</b>　除非<br>Unless it rains. 除非下雨。	连词
than	/ðæn/　<b>conj.</b>　比<br>Better than before. 比以前好。	连词
that	/ðæt/　<b>conj.</b>　（引导从句）<br>I think that's right. 我认为对。	连词
whether	/ˈweðə/　<b>conj.</b>　是否<br>Whether or not. 无论是否。	连词
both...and	—　<b>conj.</b>　既…又…<br>Both fast and safe. 又快又安全。	连词
either...or	—　<b>conj.</b>　要么…要么…<br>Either now or later. 要么现在要么以后。	连词
neither...nor	—　<b>conj.</b>　既不…也不…<br>Neither good nor bad. 不好也不坏。	连词
who	/huː/　<b>pron.</b>　谁<br>Who did this? 谁做的？	疑问词
whose	/huːz/　<b>pron.</b>　谁的<br>Whose code is this? 这是谁的代码？	疑问词
what	/wɒt/　<b>pron.</b>　什么<br>What happened? 发生了什么？	疑问词
which	/wɪtʃ/　<b>pron.</b>　哪个<br>Which version? 哪个版本？	疑问词
when	/wen/　<b>adv.</b>　什么时候<br>When is the meeting? 会议什么时候？	疑问词
where	/weə/　<b>adv.</b>　哪里<br>Where are you? 你在哪？	疑问词
why	/waɪ/　<b>adv.</b>　为什么<br>Why not? 为什么不呢？	疑问词
how	/haʊ/　<b>adv.</b>　怎样；多么<br>How are you? 你好吗？	疑问词
how much	—　<b>—</b>　多少（钱/量）<br>How much is it? 多少钱？	疑问词
how many	—　<b>—</b>　多少（数量）<br>How many people? 多少人？	疑问词
how long	—　<b>—</b>　多久<br>How long does it take? 要多久？	疑问词
how often	—　<b>—</b>　多久一次<br>How often? 多久一次？	疑问词
zero	/ˈzɪərəʊ/　<b>num.</b>　零<br>Zero errors. 零错误。	数字
one	/wʌn/　<b>num.</b>　一<br>One moment. 稍等。	数字
two	/tuː/　<b>num.</b>　二<br>Two coffees. 两杯咖啡。	数字
three	/θriː/　<b>num.</b>　三<br>Three days. 三天。	数字
four	/fɔː/　<b>num.</b>　四<br>Four people. 四个人。	数字
five	/faɪv/　<b>num.</b>　五<br>Five minutes. 五分钟。	数字
six	/sɪks/　<b>num.</b>　六<br>Six months. 六个月。	数字
seven	/ˈsevn/　<b>num.</b>　七<br>Seven days a week. 一周七天。	数字
eight	/eɪt/　<b>num.</b>　八<br>Eight hours. 八小时。	数字
nine	/naɪn/　<b>num.</b>　九<br>Nine o'clock. 九点。	数字
ten	/ten/　<b>num.</b>　十<br>Ten items. 十个。	数字
eleven	/ɪˈlevn/　<b>num.</b>　十一<br>Eleven users. 十一个用户。	数字
twelve	/twelv/　<b>num.</b>　十二<br>Twelve months. 十二个月。	数字
thirteen	/ˌθɜːˈtiːn/　<b>num.</b>　十三<br>Thirteen years. 十三年。	数字
fourteen	/ˌfɔːˈtiːn/　<b>num.</b>　十四<br>Page fourteen. 第十四页。	数字
fifteen	/ˌfɪfˈtiːn/　<b>num.</b>　十五<br>Fifteen minutes. 十五分钟。	数字
twenty	/ˈtwenti/　<b>num.</b>　二十<br>Twenty dollars. 二十美元。	数字
thirty	/ˈθɜːti/　<b>num.</b>　三十<br>Thirty people. 三十人。	数字
forty	/ˈfɔːti/　<b>num.</b>　四十<br>Forty years old. 四十岁。	数字
fifty	/ˈfɪfti/　<b>num.</b>　五十<br>Fifty percent. 百分之五十。	数字
sixty	/ˈsɪksti/　<b>num.</b>　六十<br>Sixty seconds. 六十秒。	数字
seventy	/ˈsevnti/　<b>num.</b>　七十<br>Seventy users. 七十个用户。	数字
eighty	/ˈeɪti/　<b>num.</b>　八十<br>Eighty percent. 百分之八十。	数字
ninety	/ˈnaɪnti/　<b>num.</b>　九十<br>Ninety days. 九十天。	数字
hundred	/ˈhʌndrəd/　<b>num.</b>　百<br>One hundred. 一百。	数字
thousand	/ˈθaʊznd/　<b>num.</b>　千<br>A thousand users. 一千个用户。	数字
million	/ˈmɪljən/　<b>num.</b>　百万<br>One million. 一百万。	数字
first	/fɜːst/　<b>num.</b>　第一<br>The first step. 第一步。	数字
second	/ˈsekənd/　<b>num.</b>　第二；秒<br>The second time. 第二次。	数字
third	/θɜːd/　<b>num.</b>　第三<br>The third floor. 三楼。	数字
next	/nekst/　<b>adj.</b>　下一个<br>Next week. 下周。	数字
last	/lɑːst/　<b>adj.</b>　最后；上一个<br>Last month. 上个月。	数字
half	/hɑːf/　<b>n.</b>　一半<br>Half an hour. 半小时。	数字
double	/ˈdʌbl/　<b>adj.</b>　两倍<br>Double check. 复核一遍。	数字
time	/taɪm/　<b>n.</b>　时间<br>What time is it? 几点了？	时间与日期
day	/deɪ/　<b>n.</b>　天<br>Have a nice day. 祝你愉快。	时间与日期
week	/wiːk/　<b>n.</b>　星期<br>This week. 这周。	时间与日期
month	/mʌnθ/　<b>n.</b>　月<br>Last month. 上个月。	时间与日期
year	/jɪə/　<b>n.</b>　年<br>This year. 今年。	时间与日期
hour	/ˈaʊə/　<b>n.</b>　小时<br>An hour ago. 一小时前。	时间与日期
minute	/ˈmɪnɪt/　<b>n.</b>　分钟<br>Wait a minute. 等一下。	时间与日期
second	/ˈsekənd/　<b>n.</b>　秒<br>In a second. 马上。	时间与日期
morning	/ˈmɔːnɪŋ/　<b>n.</b>　早上<br>Good morning. 早上好。	时间与日期
afternoon	/ˌɑːftəˈnuːn/　<b>n.</b>　下午<br>This afternoon. 今天下午。	时间与日期
evening	/ˈiːvnɪŋ/　<b>n.</b>　晚上<br>Good evening. 晚上好。	时间与日期
night	/naɪt/　<b>n.</b>　夜晚<br>Good night. 晚安。	时间与日期
today	/təˈdeɪ/　<b>adv.</b>　今天<br>See you today. 今天见。	时间与日期
tomorrow	/təˈmɒrəʊ/　<b>adv.</b>　明天<br>See you tomorrow. 明天见。	时间与日期
yesterday	/ˈjestədeɪ/　<b>adv.</b>　昨天<br>It rained yesterday. 昨天下雨了。	时间与日期
now	/naʊ/　<b>adv.</b>　现在<br>Right now. 就现在。	时间与日期
then	/ðen/　<b>adv.</b>　那时；然后<br>See you then. 到时见。	时间与日期
soon	/suːn/　<b>adv.</b>　很快<br>See you soon. 回头见。	时间与日期
early	/ˈɜːli/　<b>adj./adv.</b>　早<br>I'm early. 我来早了。	时间与日期
late	/leɪt/　<b>adj./adv.</b>　晚，迟<br>Sorry I'm late. 抱歉我迟到了。	时间与日期
Monday	/ˈmʌndeɪ/　<b>n.</b>　星期一<br>On Monday. 在周一。	时间与日期
Tuesday	/ˈtjuːzdeɪ/　<b>n.</b>　星期二<br>Every Tuesday. 每周二。	时间与日期
Wednesday	/ˈwenzdeɪ/　<b>n.</b>　星期三<br>This Wednesday. 这周三。	时间与日期
Thursday	/ˈθɜːzdeɪ/　<b>n.</b>　星期四<br>Next Thursday. 下周四。	时间与日期
Friday	/ˈfraɪdeɪ/　<b>n.</b>　星期五<br>Happy Friday. 周五快乐。	时间与日期
Saturday	/ˈsætədeɪ/　<b>n.</b>　星期六<br>On Saturday. 在周六。	时间与日期
Sunday	/ˈsʌndeɪ/　<b>n.</b>　星期日<br>Every Sunday. 每周日。	时间与日期
weekend	/ˌwiːkˈend/　<b>n.</b>　周末<br>Have a good weekend. 周末愉快。	时间与日期
holiday	/ˈhɒlədeɪ/　<b>n.</b>　假日<br>Public holiday. 公共假期。	时间与日期
go	/ɡəʊ/　<b>v.</b>　去（went, gone）<br>Let's go. 我们走吧。	高频动词
come	/kʌm/　<b>v.</b>　来（came, come）<br>Come here. 过来。	高频动词
get	/ɡet/　<b>v.</b>　得到；变得（got）<br>I got it. 我懂了/拿到了。	高频动词
make	/meɪk/　<b>v.</b>　制作；使（made）<br>Make a plan. 制定计划。	高频动词
take	/teɪk/　<b>v.</b>　拿；花费（took, taken）<br>Take a break. 休息一下。	高频动词
give	/ɡɪv/　<b>v.</b>　给（gave, given）<br>Give me a call. 给我打电话。	高频动词
put	/pʊt/　<b>v.</b>　放（put, put）<br>Put it here. 放这儿。	高频动词
do	/duː/　<b>v.</b>　做（did, done）<br>Do your best. 尽力而为。	高频动词
have	/hæv/　<b>v.</b>　有（had）<br>Have a seat. 请坐。	高频动词
let	/let/　<b>v.</b>　让（let, let）<br>Let me see. 让我看看。	高频动词
keep	/kiːp/　<b>v.</b>　保持（kept）<br>Keep trying. 继续努力。	高频动词
hold	/həʊld/　<b>v.</b>　握住（held）<br>Hold on. 稍等。	高频动词
bring	/brɪŋ/　<b>v.</b>　带来（brought）<br>Bring your laptop. 带上你的电脑。	高频动词
send	/send/　<b>v.</b>　发送（sent）<br>Send me the file. 把文件发我。	高频动词
leave	/liːv/　<b>v.</b>　离开；留下（left）<br>I have to leave. 我得走了。	高频动词
stay	/steɪ/　<b>v.</b>　停留<br>Stay here. 待在这儿。	高频动词
move	/muːv/　<b>v.</b>　移动<br>Move it up. 往上挪。	高频动词
turn	/tɜːn/　<b>v.</b>　转；变<br>Turn left. 左转。	高频动词
open	/ˈəʊpən/　<b>v.</b>　打开<br>Open the file. 打开文件。	高频动词
close	/kləʊz/　<b>v.</b>　关闭<br>Close the door. 关门。	高频动词
start	/stɑːt/　<b>v.</b>　开始<br>Let's start. 开始吧。	高频动词
stop	/stɒp/　<b>v.</b>　停止<br>Stop here. 停这儿。	高频动词
begin	/bɪˈɡɪn/　<b>v.</b>　开始（began, begun）<br>Begin now. 现在开始。	高频动词
end	/end/　<b>v.</b>　结束<br>It ends here. 到此结束。	高频动词
finish	/ˈfɪnɪʃ/　<b>v.</b>　完成<br>I finished it. 我完成了。	高频动词
continue	/kənˈtɪnjuː/　<b>v.</b>　继续<br>Please continue. 请继续。	高频动词
wait	/weɪt/　<b>v.</b>　等待<br>Wait for me. 等我。	高频动词
use	/juːz/　<b>v.</b>　使用<br>Use this tool. 用这个工具。	高频动词
try	/traɪ/　<b>v.</b>　尝试<br>Try again. 再试一次。	高频动词
work	/wɜːk/　<b>v.</b>　工作；运转<br>It works! 好使了！	高频动词
play	/pleɪ/　<b>v.</b>　玩；播放<br>Play music. 放音乐。	高频动词
run	/rʌn/　<b>v.</b>　跑；运行（ran, run）<br>Run the code. 运行代码。	高频动词
walk	/wɔːk/　<b>v.</b>　走路<br>Let's walk. 我们走着去。	高频动词
sit	/sɪt/　<b>v.</b>　坐（sat）<br>Sit down. 坐下。	高频动词
stand	/stænd/　<b>v.</b>　站（stood）<br>Stand up. 起立。	高频动词
think	/θɪŋk/　<b>v.</b>　想（thought）<br>I think so. 我想是的。	高频动词
know	/nəʊ/　<b>v.</b>　知道（knew, known）<br>I don't know. 我不知道。	高频动词
understand	/ˌʌndəˈstænd/　<b>v.</b>　理解（understood）<br>I understand. 我明白了。	高频动词
mean	/miːn/　<b>v.</b>　意思是（meant）<br>What do you mean? 你什么意思？	高频动词
say	/seɪ/　<b>v.</b>　说（said）<br>Say it again. 再说一遍。	高频动词
tell	/tel/　<b>v.</b>　告诉（told）<br>Tell me more. 多说点。	高频动词
speak	/spiːk/　<b>v.</b>　说话（spoke, spoken）<br>Speak slowly. 说慢点。	高频动词
talk	/tɔːk/　<b>v.</b>　谈话<br>Let's talk. 我们聊聊。	高频动词
ask	/ɑːsk/　<b>v.</b>　问；请求<br>Ask a question. 提个问题。	高频动词
answer	/ˈɑːnsə/　<b>v.</b>　回答<br>Answer the phone. 接电话。	高频动词
explain	/ɪkˈspleɪn/　<b>v.</b>　解释<br>Explain it to me. 给我解释下。	高频动词
agree	/əˈɡriː/　<b>v.</b>　同意<br>I agree. 我同意。	高频动词
mention	/ˈmenʃn/　<b>v.</b>　提到<br>You mentioned it. 你提过。	高频动词
discuss	/dɪˈskʌs/　<b>v.</b>　讨论<br>Let's discuss it. 我们讨论下。	高频动词
suggest	/səˈdʒest/　<b>v.</b>　建议<br>I suggest we wait. 我建议等等。	高频动词
decide	/dɪˈsaɪd/　<b>v.</b>　决定<br>You decide. 你决定。	高频动词
remember	/rɪˈmembə/　<b>v.</b>　记得<br>Remember to save. 记得保存。	高频动词
forget	/fəˈɡet/　<b>v.</b>　忘记（forgot）<br>Don't forget. 别忘了。	高频动词
believe	/bɪˈliːv/　<b>v.</b>　相信<br>I believe you. 我相信你。	高频动词
hope	/həʊp/　<b>v.</b>　希望<br>I hope so. 但愿如此。	高频动词
guess	/ɡes/　<b>v.</b>　猜<br>I guess so. 我猜是的。	高频动词
wonder	/ˈwʌndə/　<b>v.</b>　想知道<br>I wonder why. 我想知道为什么。	高频动词
notice	/ˈnəʊtɪs/　<b>v.</b>　注意到<br>I noticed a bug. 我注意到一个 bug。	高频动词
realize	/ˈriːəlaɪz/　<b>v.</b>　意识到<br>I realized my mistake. 我意识到我的错。	高频动词
see	/siː/　<b>v.</b>　看见（saw, seen）<br>I see. 我明白了。	高频动词
look	/lʊk/　<b>v.</b>　看<br>Look at this. 看这个。	高频动词
watch	/wɒtʃ/　<b>v.</b>　观看<br>Watch out. 小心。	高频动词
hear	/hɪə/　<b>v.</b>　听见（heard）<br>I hear you. 我听到了。	高频动词
listen	/ˈlɪsn/　<b>v.</b>　听<br>Listen carefully. 仔细听。	高频动词
feel	/fiːl/　<b>v.</b>　感觉（felt）<br>I feel good. 我感觉不错。	高频动词
want	/wɒnt/　<b>v.</b>　想要<br>I want to learn. 我想学。	高频动词
like	/laɪk/　<b>v.</b>　喜欢<br>I like it. 我喜欢。	高频动词
love	/lʌv/　<b>v.</b>　爱<br>I love coding. 我热爱编程。	高频动词
hate	/heɪt/　<b>v.</b>　讨厌<br>I hate bugs. 我讨厌 bug。	高频动词
enjoy	/ɪnˈdʒɔɪ/　<b>v.</b>　享受<br>Enjoy your meal. 用餐愉快。	高频动词
prefer	/prɪˈfɜː/　<b>v.</b>　更喜欢<br>I prefer tea. 我更喜欢茶。	高频动词
care	/keə/　<b>v.</b>　在乎<br>I don't care. 我不在乎。	高频动词
worry	/ˈwʌri/　<b>v.</b>　担心<br>Don't worry. 别担心。	高频动词
smell	/smel/　<b>v.</b>　闻<br>It smells good. 闻起来不错。	高频动词
taste	/teɪst/　<b>v.</b>　尝<br>Taste this. 尝尝这个。	高频动词
touch	/tʌtʃ/　<b>v.</b>　触摸<br>Don't touch it. 别碰它。	高频动词
eat	/iːt/　<b>v.</b>　吃（ate, eaten）<br>Let's eat. 吃饭吧。	高频动词
drink	/drɪŋk/　<b>v.</b>　喝（drank, drunk）<br>Drink water. 喝水。	高频动词
sleep	/sliːp/　<b>v.</b>　睡（slept）<br>Sleep well. 睡个好觉。	高频动词
wake	/weɪk/　<b>v.</b>　醒（woke）<br>Wake up. 醒醒。	高频动词
buy	/baɪ/　<b>v.</b>　买（bought）<br>Buy a ticket. 买张票。	高频动词
sell	/sel/　<b>v.</b>　卖（sold）<br>They sell coffee. 他们卖咖啡。	高频动词
pay	/peɪ/　<b>v.</b>　付钱（paid）<br>I'll pay. 我来付。	高频动词
cost	/kɒst/　<b>v.</b>　花费（cost）<br>It costs 10 yuan. 要 10 元。	高频动词
cook	/kʊk/　<b>v.</b>　做饭<br>I cook dinner. 我做晚饭。	高频动词
clean	/kliːn/　<b>v.</b>　打扫<br>Clean the room. 打扫房间。	高频动词
wash	/wɒʃ/　<b>v.</b>　洗<br>Wash your hands. 洗手。	高频动词
wear	/weə/　<b>v.</b>　穿（wore, worn）<br>Wear a coat. 穿外套。	高频动词
drive	/draɪv/　<b>v.</b>　开车（drove, driven）<br>I drive to work. 我开车上班。	高频动词
ride	/raɪd/　<b>v.</b>　骑（rode, ridden）<br>Ride a bike. 骑自行车。	高频动词
travel	/ˈtrævl/　<b>v.</b>　旅行<br>I love to travel. 我爱旅行。	高频动词
visit	/ˈvɪzɪt/　<b>v.</b>　拜访<br>Visit a friend. 拜访朋友。	高频动词
meet	/miːt/　<b>v.</b>　遇见（met）<br>Nice to meet you. 很高兴认识你。	高频动词
call	/kɔːl/　<b>v.</b>　打电话；叫<br>Call me. 给我打电话。	高频动词
help	/help/　<b>v.</b>　帮助<br>Can you help? 你能帮忙吗？	高频动词
show	/ʃəʊ/　<b>v.</b>　展示（showed, shown）<br>Show me. 给我看看。	高频动词
